Applicants,2016.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,3,0,0,0,0,0,0,0,0
Abcam Plc,0,0,0,0,1,0,0,0,0
"Agricultural Genomics Institute At Shenzhen, Chinese Academy Of Agricultural Sciences",0,0,0,0,0,0,1,0,0
Agricultural University In China,0,0,0,0,0,0,5,0,0
All-Russian Research Institute of Agricultural Biotechnology,0,0,0,0,0,0,0,3,0
Anhui Academy Of Agricultural Sciences安徽省农业科学院水稻研究所Nanjing Agricultural University,0,0,0,0,0,0,0,1,0
Anhui Agricultural University,0,0,0,0,0,0,0,0,1
Applied Stemcell Inc,0,0,0,0,1,0,0,0,0
"Baoshan Huada Wisdom Agricultural Technology Co., Ltd.",0,0,0,0,0,0,1,0,0
Basf Plant Science Co Gmbh,0,0,0,0,0,0,0,1,0
Basf Plant Science Company Gmbh,0,0,0,0,1,0,1,0,0
"Beidahuang Kenfeng Seed Industry Co., Ltd.",0,0,0,0,0,0,1,0,0
Beijing Academy Of Agriculture And Forestry Sciences,0,0,0,0,1,1,0,0,0
"Beijing Academy Of Agriculture And Forestry Sciences北京市农林科学院Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",0,0,0,1,1,0,0,0,0
Beijing Ciic Biological Agricultural International Research Institute,0,0,0,0,0,0,0,1,0
Beijing Forestry University,0,0,0,0,1,0,0,0,0
"Beijing Shou Jia Li Hua Sci-Tech Co., Ltd.北京首佳利华科技有限公司Xinyang Shoujia Lihua Agriculture Technology Co., Ltd.",0,0,0,0,2,0,0,0,0
"Biology Security Center, Sanya China Academy Of Inspection三亚中国检科院生物安全中心Institute Of Plant Protection Of Xinjiang Academy Of Agricultural Sciences",0,0,0,0,0,0,1,0,0
Biotechnology Research Institute Of Chinese Academy Of Agricultural Sciences,0,0,0,0,0,1,0,0,0
"Biotechnology Research Institute, Caas",0,0,0,2,0,1,0,0,0
Cas Center For Excellence In Molecular Plant Sciences,0,0,0,0,0,0,3,2,0
Chen Chao,0,0,0,0,0,0,1,0,0
China Agricultural University,0,0,0,1,7,5,3,2,0
China National Rice Research Institute,0,0,0,0,1,0,0,0,0
"China National Seed Group Co., Ltd.",0,0,0,1,0,0,0,1,0
"China Tobacco Yunnan Industrial Co., Ltd.",0,0,0,0,0,1,2,0,1
Chinese Academy Of Forestry,0,0,0,0,0,1,0,0,0
Chinese Agricultural University,0,0,0,0,0,0,5,0,0
Chinese People'S Liberation Army Army Specialized Medical Center西部（重庆）,0,0,0,0,0,0,2,0,0
Chung Ang University,0,0,0,0,0,0,0,1,0
"Cotton Research Institute, Chinese Academy Of Agricultural Sciences",0,0,0,0,0,1,0,0,0
"Crop Research Institute, Guangdong Academy Of Agricultural Sciences",0,0,0,0,0,0,0,1,0
Crop Science Research Institute Of Chinese Academy Of Agricultural Sciences,0,0,0,0,0,0,1,1,0
"Crops Research Institute, Guangdong Academy Of Agricultural Sciences",0,0,0,0,1,0,0,0,0
Dow Agrosciences Llc,0,0,0,0,4,0,0,0,0
Dupont Nutrition Biosciences Apsuniversite Laval (Canada),0,0,0,0,0,0,1,0,0
"Editas Medicine, Inc.",0,0,0,0,0,0,1,0,0
"Environment And Plant Protection Institute, Chinese Academy Of Tropical Agricultural Sciences",0,0,0,0,0,0,0,1,0
"Frontier Laboratories Of Systems Crop Design Co., Ltd.未名兴旺系统作物设计前沿实验室（北京）有限公司Peking University",0,0,0,1,0,0,0,0,0
Fudan University,0,0,1,0,0,0,0,0,0
Fujian Agriculture And Forestry University,0,0,0,2,1,3,0,0,0
Gannan Normal University,0,0,0,0,0,0,1,0,0
Genetic And Developmental Biology Research Institute Of Chinese Academy Of,0,0,0,0,0,0,1,0,0
Genkore Co. Ltd.,0,0,0,0,0,0,1,0,0
Guangdong Academy Of Agricultural Sciences-Agricultural Biological Gene Research Center,0,0,0,0,0,1,1,0,0
"Guangdong Sanjie Forage Biotechnology Co., Ltd",0,0,0,0,0,2,0,0,0
"Guangdong Sanjie Herbage Biotechnology Co., Ltd.",0,0,0,0,1,0,0,0,0
Guangxi University,0,0,0,0,0,0,1,0,0
Guangzhou University,0,0,0,0,0,0,2,0,0
Guizhou Drought Grain Sorghum Research Institute,0,0,0,0,0,0,0,1,0
"Harbin Veterinary Research Institute, Caas (Harbin Branch Of China Animal Health And Epidemiology Center)中国农业科学院哈尔滨兽医研究所（中国动物卫生与流行病学中心哈尔滨分中心）Shenzhen Agricultural Genome Institute Of Chinese Academy Of Agricultural Sciences (Lingnan Modern Agriculture Science And Technology Guangdong Province Shenzhen Branch Center)中国农业科学院深圳农业基因组研究所（岭南现代农业科学与技术广东省实验室深圳分中心）",0,0,0,0,0,0,0,1,0
"Hefei Jiangu Biotechnology Co., Ltd.",0,0,0,0,1,0,0,0,0
Henan Agricultural University,0,0,0,0,0,3,3,0,0
Henan Agricultural University河南农业大学China National Tobacco Corporation Sichuan Company,0,0,0,0,0,0,1,0,0
"Henan Agricultural University河南农业大学Jiaozuo Jiudao Seedling Breeding Co., Ltd.",0,0,0,0,0,0,1,0,0
Henan University Of Science And Technology,0,0,0,0,0,1,0,0,0
Horticulture Institute Of Xinjiang Academy Of Agricultural Science,0,0,0,0,1,0,0,0,0
Huaiyin Normal University,0,0,0,1,0,2,0,1,0
Huazhong Agricultural University,0,0,0,4,4,7,3,2,0
