Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Priority Data,Title,Designated States,Abstract,Agents,Grant Number,Grant Date,Related Patent Documents
EP442296968,23171650,European Patent Office,04.05.2023,4458963,06.11.2024,A1,"C12N 9/22
					






C12N 9/78
					






C12N 15/10
					






C12N 15/90
					








C12N 9/22
					






C12N 9/78
					






C12N 15/10
					






C12N 15/90
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C12N 15/1058
					






C12N 9/78
					






C12Y 305/04004
					






C12N 15/902
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C12N 15/1058
					






C12N 9/78
					






C12Y 305/04004
					






C12N 15/902
					






C12N 2310/20
					






C12N 15/70
					






View less classifications",UNIV DRESDEN TECH,SÜRÜN DURANBUCHHOLZ FRANK,23171650 04.05.2023 EP,(DE) HOCHAKTIVE CRISPR-BASISEDITOREN DURCH CAS-UNTERSTÜTZTE SUBSTRATGEBUNDENE GERICHTETE EVOLUTION (CASLID)(EN) HIGHLY ACTIVE CRISPR BASE EDITORS OBTAINED THROUGH CAS-ASSISTED SUBSTRATE-LINKED DIRECTED EVOLUTION (CASLIDE)(FR) ÉDITEURS DE BASE CRISPR HAUTEMENT ACTIFS OBTENUS PAR ÉVOLUTION DIRIGÉE LIÉE À UN SUBSTRAT ASSISTÉE PAR CAS (CAGLOUSIER),,"(EN) The invention relates to a DNA modifying enzyme comprising or consisting of a DNA editing protein and a Cas protein and a peptide linker,wherein said DNA editing protein and said Cas protein are connected by said peptide linker; andwherein said DNA modifying enzyme has been obtained by directed molecular evolution of an original enzyme; andwherein said DNA modifying enzyme shows a base editing rate which is at least 10%, 20% or 30 %, preferably at least 40 %, more preferably at least 50 %, most preferably at least 60 % higher than the base editing rate of said wildtype enzyme.The invention relates further to a method of directed molecular evolution of a DNA modifying enzyme and to the use evolved DNA modifying enzymes in research, medicine and agriculture.",,,,WO/2024/227911
CN243509537,201910159312.X,China,04.03.2019,109825532,31.05.2019,B,"C12N 15/90
					






C12N 15/82
					






A01H 5/00
					








C12N 15/90
					






C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 9/22
					






C12N 2310/20
					






C12N 15/8213
					






C12N 15/8202
					






C12N 15/11
					








C12N 9/22
					






C12N 2310/20
					






C12N 15/8213
					






C12N 15/8202
					






C12N 15/11
					






View less classifications","KUNMING INSTITUTE OF BOTANY, CHINESE ACADEMY OF SCIENCES中国科学院昆明植物研究所",LIU LI刘莉PU XIAOJUN普晓俊LIU LINA刘丽娜LI PING李萍YANG HONG杨红,北京高沃律师事务所 11569,(EN) Application of CRISPR/Cas12a gene editing system in physcomitrella patens gene editing(ZH) CRISPR/Cas12a基因编辑系统在小立碗藓基因编辑中的应用,,"(EN) The invention provides application of a CRISPR/Cas12a gene editing system in physcomitrella patens gene editing, and belongs to the technical field of gene engineering. The application comprises the following steps that 1, a Cas12a protease expression vector is constructed; 2, a gRNA expression vector is constructed; 3, the Cas12a protease expression vector, the gRNA expression vector and resistance expression plasmids are used for converting physcomitrella patens, and resistance screening is carried out to obtain mutant plants. The CRISPR/Cas12a gene editing system applied to physcomitrella patens gene editing has the advantages of being high in gene editing efficiency, small in target missing probability and especially capable of achieving efficient editing of multiple targets.(ZH) 本发明提供了CRISPR/Cas12a基因编辑系统在小立碗藓基因编辑中的应用，属于基因工程技术领域，所述应用包括以下步骤：1)构建Cas12a蛋白酶表达载体；2)构建gRNA表达载体；3)采用Cas12a蛋白酶表达载体、gRNA表达载体和表达抗性的质粒对小立碗藓进行转化，经过抗性筛选得到突变体植株。本发明应用于小立碗藓基因编辑的CRISPR/Cas12a基因编辑系统具有基因编辑效率高、脱靶概率小、尤其能够高效编辑多靶标的优点。",,109825532,10.12.2019,US20200283744
KR320320753,1020190175479,Republic of Korea,26.12.2019,1020210023645,04.03.2021,B1,"A24B 15/18
					






C12N 15/82
					






C12N 9/10
					








A24B 15/18
					






C12N 15/82
					






C12N 9/10
					






View less classifications","A24B 15/18
					






C12N 15/8243
					






C12N 9/1007
					






C12Y 201/01053
					








A24B 15/18
					






C12N 15/8243
					






C12N 9/1007
					






C12Y 201/01053
					






View less classifications",주식회사 케이티앤지KT & G CORPORATION,SEO HYO SEOKLEE YOUNG GILEE JEONG HEON서효석KIM KWANG CHUL이영기NA WOONG HYUN이정헌OH KYOUNG HWAN김광철JEON EUN YOUNG나웅현LEE JANG MI오경환전은영이장미,1020190103310 22.08.2019 KR,(EN) PLANT CELL WITH MANIPULATED PUTRESCINE N-METHYLTRANSFERASE GENE AND USING METHOD THEREOF(KO) PMT 유전자가 조작된 식물 세포 및 이의 이용 방법,,"(EN) The present invention relates to a plant cell manipulated by using a clustered regularly interspaced short palindromic repeats (CRISPR)/ CRISPR associated protein 9 (Cas9) system to decrease expression or activity of a putrescine n-methyltransferase (PMT) gene or PMT protein in comparison with a mother cell, plant including the same, a composition for inhibiting nicotine biosynthesis, a composition for PMT gene manipulation, a method for producing a plant cell in which nicotine biosynthesis is inhibited, and a method for manipulating a PMT gene in a plant cell. According to one aspect of the present invention, when the CRISPR/Cas9 system is used, a PMT gene in a plant cell can be manipulated to inhibit biosynthesis of nicotine, so that low-nicotine tobacco varieties according to international trends can be produced, thereby contributing to the domestic and foreign tobacco industry. The CRISPR/Cas9 system comprises at least one first polynucleotide and a second polynucleotide. COPYRIGHT KIPO 2022(KO) CRISPR/Cas9 시스템을 이용하여 모세포에 비해 PMT(putrescine N-methyltransferase) 유전자 또는 PMT 단백질의 발현 또는 활성이 감소되도록 유전적으로 조작된 식물 세포, 이를 포함하는 식물, 니코틴 생합성 억제용 조성물, PMT 유전자 조작용 조성물, 니코틴 생합성이 억제된 식물 세포 제조 방법 및 식물 세포의 PMT 유전자를 조작하는 방법에 관한 것이다.
일 양상에 따른 CRISPR/Cas9 시스템을 이용하면 식물 세포 내 PMT 유전자가 조작되어 니코틴의 생합성이 억제될 수 있어, 국제 추세에 따른 저니코틴 담배 품종을 생산할 수 있어, 국내외 담배 업계에 이바지할 수 있다.",리앤목특허법인,102395185,10.05.2022,KR1020210023646
KR329301569,1020200113810,Republic of Korea,07.09.2020,1020210077585,25.06.2021,B1,"A01H 1/02
					






A01H 5/10
					






C12N 15/113
					






C12N 15/82
					






C12N 9/22
					








A01H 1/02
					






A01H 5/10
					






C12N 15/113
					






C12N 15/82
					






C12N 9/22
					






View less classifications","A01H 1/02
					






A01H 5/10
					






C12N 15/113
					






C12N 15/8212
					






C12N 15/8216
					






C12N 15/8289
					






View more classifications
							






A01H 1/02
					






A01H 5/10
					






C12N 15/113
					






C12N 15/8212
					






C12N 15/8216
					






C12N 15/8289
					






C12N 9/22
					






C12N 2310/20
					






View less classifications",경희대학교 산학협력단UNIVERSITY-INDUSTRY COOPERATION GROUP OF KYUNG HEE UNIVERSITY,JEON JONG SEONGLEE SANG KYUSHIM SU HYEON전종성이상규심수현,1020190168711 17.12.2019 KR,(EN) METHOD FOR PREPARING LOSS-OF-FUNCTION MUTANT IN F1 HYBRID USING CRISPR/Cas SYSTEM(KO) CRISPR/Cas 시스템을 이용한 일대잡종에서 기능상실 돌연변이체 제조 방법,,"(EN) The present invention relates to: a method for preparing a homozygous mutant or heterozygous mutant of a target gene in an F1 hybrid by preparing a transgenic plant in which a mutation for a target gene is induced, by using a CRISPR/Cas system, and crossing the transgenic plant with a wild-type plant; and a method for preparing a male sterile maintainer line or non-GMO plant that can be classified through fluorescence, by using a recombinant vector to which a fluorescently labeled gene is added. COPYRIGHT KIPO 2022(KO) 본 발명은 CRISPR/Cas 시스템을 이용하여 표적 유전자에 대한 돌연변이가 유발된 형질전환 식물체를 제조하고, 상기 형질전환 식물체와 야생형 식물체를 교배하여 일대잡종(F1)에서 표적 유전자에 대한 동형접합 돌연변이체 또는 이대립인자성 돌연변이체를 제조하는 방법; 및 형광표지 유전자가 추가된 재조합 벡터를 이용하여 형광을 통해 분류가 가능한 웅성불임 유지친 또는 Non-GMO 식물체를 제조하는 방법에 관한 것이다.",위병갑,102544413,16.06.2023,WO/2021/125503
,,,,,,,,,,,,,,,,,,
EP240628412,17728794,European Patent Office,30.05.2017,3464594,10.04.2019,A1,"C12N 15/113
					






C12N 15/82
					








C12N 15/113
					






C12N 15/82
					






View less classifications","C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					








C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					






View less classifications",KWS SAAT SE & CO KGAA,HUMMEL AARON,201662344109 01.06.2016 US,(DE) HYBRIDNUKLEINSÄURESEQUENZEN FÜR GENOMENGINEERING(EN) HYBRID NUCLEIC ACID SEQUENCES FOR GENOME ENGINEERING(FR) SÉQUENCES D'ACIDES NUCLÉIQUES HYBRIDES DESTINÉES À L'INGÉNIERIE GÉNOMIQUE,,"(EN) The present invention relates to hybrid nucleic acid sequence constructs comprising a CRISPR nucleic acid sequence and a DNA repair template associated with each other in a covalent and/or non-covalent way for CRISPR based genome engineering. Further provided is a molecular complex additionally comprising at least one CRISPR polypeptide. All components within the complex are in physical proximity. In addition, there is provided a plant, plant cell, a plant material, or a derivative, or progeny thereof comprising the hybrid RNA/DNA sequence and/or the molecular complex. Further, there is provided a method for modifying at least one DNA target sequence in a prokaryotic or eukaryotic cell as well as a method for manufacturing a plant or plant cell. Finally, there is provided the use of at least one hybrid RNA/DNA sequence, or use of a molecular complex for gene editing or genome engineering in a prokaryotic or eukaryotic cell or organism.(FR) La présente invention concerne des constructions de séquence d’acides nucléiques hybrides comprenant une séquence d’acides nucléiques CRISPR et une matrice de réparation d’ADN associés l’un à l’autre d’une manière covalente et/ou non covalente pour l’ingénierie génomique à base de CRISPR. L'invention concerne en outre un complexe moléculaire comprenant additionnellement au moins un polypeptide CRISPR. Tous les constituants au sein du complexe se trouvent en proximité physique. De plus, l'invention concerne une plante, une cellule végétale, un matériau végétal, ou un dérivé ou descendance de ces derniers comprenant la séquence d’ARN/d’ADN hybride et/ou le complexe moléculaire. L'invention concerne en outre un procédé de modification d’au moins une séquence cible d’ADN dans une cellule procaryote ou eucaryote ainsi qu’un procédé de fabrication d’une plante ou d’une cellule végétale. Enfin, l'invention concerne l’utilisation d’au moins une séquence d’ARN/d’ADN hybride, ou l’utilisation d’un complexe moléculaire d’édition de gène ou d’ingénierie génomique dans une cellule ou un organisme procaryote ou eucaryote.",,,,"AU2017272623

KR1020190012229

CN109642232

US20190161760

BR112018074494

EA201892810

WO/2017/207589

JP2019517261

CA3025828

UAa201812605This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240376486"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EP400274288,21858957,European Patent Office,17.08.2021,4200413,28.06.2023,A4,"A01H 1/06
					






C12N 9/22
					






C12N 15/113
					








A01H 1/06
					






C12N 9/22
					






C12N 15/113
					






View less classifications","C12N 9/22
					






C12N 15/90
					






C12N 2310/20
					






C12N 2310/16
					






C12N 2310/3519
					






A01H 1/06
					






View more classifications
							






C12N 9/22
					






C12N 15/90
					






C12N 2310/20
					






C12N 2310/16
					






C12N 2310/3519
					






A01H 1/06
					






C12N 15/8213
					






C07K 2319/00
					






C12N 15/11
					






C12N 15/115
					






View less classifications",UNIV MARYLAND,QI YIPINGPAN CHANGTIAN,202063066674 17.08.2020 US,"(DE) ZUSAMMENSETZUNGEN, SYSTEME UND VERFAHREN ZUR ORTHOGONALEN GENOMMANIPULATION IN PFLANZEN(EN) COMPOSITIONS, SYSTEMS, AND METHODS FOR ORTHOGONAL GENOME ENGINEERING IN PLANTS(FR) COMPOSITIONS, SYSTÈMES ET PROCÉDÉS D'INGÉNIERIE GÉNOMIQUE ORTHOGONALE CHEZ LA PLANTE",,"(EN) The present disclosure relates to compositions and methods for simultaneous and combinational CRISPR-mediated gene activation, gene editing, and gene repression in plants based on a single Cas protein.(FR) La présente divulgation concerne des compositions et des procédés d'activation simultanée et combinatoire de gènes à médiation par CRISPR, l'édition de gènes et la répression de gènes chez la plante sur la base d'une seule protéine Cas.",,,,"WO/2022/040169

US20230374528"
US444948515,18758713,United States of America,28.06.2024,20250002883,02.01.2025,A1,"C12N 9/22
					






C12N 9/78
					






C12N 15/11
					






C12N 15/90
					








C12N 9/22
					






C12N 9/78
					






C12N 15/11
					






C12N 15/90
					






View less classifications","C12N 9/78
					






C12N 9/22
					






C12N 15/11
					






C12N 15/907
					






C12Y 305/04002
					






C07K 2319/00
					






View more classifications
							






C12N 9/78
					






C12N 9/22
					






C12N 15/11
					






C12N 15/907
					






C12Y 305/04002
					






C07K 2319/00
					






C12N 2310/20
					






View less classifications",UNIVERSITY-INDUSTRY COOPERATION GROUP OF KYUNG HEE UNIVERSITYRESEARCH & BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY,Taeyoung KooDae Sik KimEun Young ChoiHye Yeon Hwang,1020230084418 29.06.2023 KR,(EN) COMPOSITION FOR GENE EDITING AND USE THEREOF,,"(EN) 
The present disclosure relates to a composition for gene editing and a use thereof. According to the present disclosure, an adenine base editor LbABE8e system in which a Cas12a protein variant including one or more mutations and adenine deaminase are fused has altered PAM specificity to achieve a significant genomic single base editing effect on target DNA, and thus expands the range of applicable CRISPR system selection. Accordingly, due to gene editing, it is expected that the adenine base editor LbABE8e system may be widely used in various fields, such as gene therapy, creation of commercial profits with industrial strains with improved productivity, improvement of the quality of public health care through improvement of intestinal microorganisms, and improvement of crops and livestock breeds free from GMO issues.",,,,KR1020250001761
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CN341236327,202110773909,China,08.07.2021,113564197,29.10.2021,B,"C12N 15/82
					






C12N 15/29
					






C12N 15/66
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






C12N 15/29
					






C12N 15/66
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8216
					








C07K 14/415
					






C12N 15/8216
					






View less classifications",SHANGHAI NORMAL UNIVERSITY上海师范大学,ZHANG HUI张辉WANG CHONG汪冲LUO PENGYU罗鹏宇HONG ZHENG洪政ZHANG YAJUN张亚军,浙江千克知识产权代理有限公司 33246,(EN) Construction method and application of CRISPR/Cas9 mediated plant polygene editing vector(ZH) 一种CRISPR/Cas9介导的植物多基因编辑载体的构建方法和应用,,"(EN) The invention discloses a method for constructing a plant polygene editing vector which is simple, convenient and efficient. The plant polygene editing vector comprises a pMK-(1-12) intermediate vector and a final vector pMMK-Cas9. The vector construction method comprises the following steps: a plurality of sgRNAs are connected onto a pMK (1-12) intermediate vector in a polycistron tRNA-gRNA manner, 1-8 sgRNAs can be connected to each intermediate vector to obtain a pMK (1-12)-PTG vector; U6/U3 expression cassettes on the plurality of pMK (1-12)-PTG vectors are connected to a pMMK-Cas9 vector, the pMMK-Cas9 can be connected with the U6/U3 expression cassettes on 2 to 7 pMK (1-12)-PTG vectors to obtain a pMMK-PTG vector, and multi-gene editing of 2-56 target sites can be obtained according to different target site and small vector combinations. The whole process can be completed only through one-time PCR reaction and two-time ""golden-gate"" linked system, and the process is simple and rapid. The invention also takes the vector knocking out 25 members of the rice LEA gene family as an example to verify the high efficiency of the vector multi-gene editing.(ZH) 本发明公开了一种构建简便、高效的植物多基因编辑载体方法，其包括pMK‑(1‑12)中间载体及终载体pMMK‑Cas9。载体构建的方法包括以下步骤：将多个sgRNA通过多顺反子tRNA‑gRNA方式连接到pMK(1‑12)中间载体上，每个中间载体上可以连接1‑8个sgRNAs，得到pMK(1‑12)‑PTG载体；将多个pMK(1‑12)‑PTG载体上的U6/U3表达盒连接到pMMK‑Cas9载体上，pMMK‑Cas9可以连接2个到7个pMK(1‑12)‑PTG载体上的U6/U3表达盒，得到pMMK‑PTG载体，根据不同的靶位点和小载体组合，可达到2‑56个靶位点的多基因编辑。整个流程只需要一次PCR反应和两次“金门”连接体系即可完成，流程简单快速。本发明还以该载体敲除水稻LEA基因家族25个成员为例，验证该载体多基因编辑的高效性。",,113564197,15.03.2024,
CN398214587,202211268559,China,17.10.2022,116064645,05.05.2023,B,"C12N 15/82
					






C12N 9/12
					






C12N 15/54
					






A01H 6/46
					






A01H 5/00
					








C12N 15/82
					






C12N 9/12
					






C12N 15/54
					






A01H 6/46
					






A01H 5/00
					






View less classifications","C12N 15/8261
					






C12N 15/8218
					






C12N 9/12
					






C12Y 207/11017
					








C12N 15/8261
					






C12N 15/8218
					






C12N 9/12
					






C12Y 207/11017
					






View less classifications",HUIZHOU UNIVERSITY惠州学院,PENG XIAOQUN彭小群ZOU YAQI邹雅琦LUO SUWEI骆素微LUO JUAN罗娟ZHANG LIJUN张丽君LI XIAOSHI李晓诗DAI TIANYOU戴天佑WU SHUYING吴淑英WANG MENGLONG王梦龙,广东华专知识产权代理事务所(普通合伙) 44669,"(EN) OsCDPK14 gene for reducing maturing rate of rice, protein obtained by coding of OsCDPK14 gene and application of OsCDPK14 gene(ZH) 一种降低水稻结实率的OsCDPK14基因及其编码得到的蛋白和应用",,"(EN) The invention discloses an OsCDPK14 gene for reducing the maturing rate of rice, a protein obtained by encoding the OsCDPK14 gene and application of the OsCDPK14 gene, and relates to the field of biotechnology and breeding. According to the scheme, the function of the OsCDPK14 gene on reducing the maturing rate of the rice is verified in the rice through a gene knockout experiment; a mutant plant is obtained by constructing a CRISPR/Cas9 gene knockout vector to transform rice, the maturing rate of the mutant plant is remarkably reduced compared with that of a wild plant, it is indicated that the OsCDPK14 gene has the function of regulating and controlling the maturing rate of the rice, the biological function of the OsCDPK14 gene on reduction of the maturing rate of the rice is disclosed for the first time, and the application of the OsCDPK14 gene on reduction of the maturing rate of the rice is promoted. A new thought is provided for clarification of a complex agronomic trait related molecular mechanism, a theoretical foundation is laid for further rice yield breeding research and utilization, and a potential new gene resource is provided for rice breeding.(ZH) 本申请公开一种降低水稻结实率的OsCDPK14基因及其编码得到的蛋白和应用，涉及生物技术和育种领域；本方案通过基因敲除实验在水稻中验证了OsCDPK14基因在降低水稻结实率上的功能；通过构建CRISPR/Cas9基因敲除载体转化水稻，获得突变体植株，突变体植株结实率与野生型植株相比显著性降低，表明OsCDPK14基因具有调控水稻结实率的功能，本申请首次揭示了OsCDPK14基因于降低水稻结实率上的生物学功能，为阐明结实率这一复杂的农艺性状相关的分子机制提供了新的思路，为进一步水稻产量育种研究和利用奠定理论基础，为水稻育种提供了潜在的新基因资源。",,116064645,06.12.2024,
CN345736688,202111069181,China,13.09.2021,113801891,17.12.2021,B,"C12N 15/84
					






C12N 15/55
					






C12N 15/29
					






C12N 15/113
					






A01H 5/00
					






A01H 6/02
					






View more classifications
							






C12N 15/84
					






C12N 15/55
					






C12N 15/29
					






C12N 15/113
					






A01H 5/00
					






A01H 6/02
					






A01H 1/02
					






C12Q 1/6895
					






C12N 15/11
					






View less classifications","C12N 15/8218
					






C12N 15/8205
					






C12N 15/8287
					






C12N 9/22
					






C07K 14/415
					






A01H 1/02
					






View more classifications
							






C12N 15/8218
					






C12N 15/8205
					






C12N 15/8287
					






C12N 9/22
					






C07K 14/415
					






A01H 1/02
					






C12Q 1/6895
					






C12Q 2600/13
					






C12Q 2600/156
					






View less classifications",INNER MONGOLIA AUTONOMOUS REGION ACADEMY OF AGRICULTURAL & ANIMAL HUSBANDRY SCIENCES内蒙古自治区农牧业科学院,WU XINRONG吴新荣BAI CHEN韩平安SUN RUIFEN孙瑞芬LI XIAODONG李晓东HAN PING'AN白晨TANG KUANGANG唐宽刚CHANG YUE常悦ZHANG ZIQIANG张自强WANG LIANG王良ZHANG BIZHOU张必周LIANG YAHUI梁亚晖,北京方圆嘉禾知识产权代理有限公司 11385,(EN) Construction method and application of beet BvCENH3 gene haploid induction line(ZH) 甜菜BvCENH3基因单倍体诱导系的构建方法与应用,,"(EN) The invention provides a construction method and application of a beet BvCENH3 gene haploid induction line. The construction method of the beet BvCENH3 gene haploid induction line comprises the following steps of transforming a beet petiole by using agrobacterium tumefaciens containing a beet BvCENH3 gene double-target CRISPR/Cas9 editing carrier, and preparing a CENH3 gene mutated beet plant, wherein the double-target CRISPR/Cas9 editing vector of the beet BvCENH3 gene is a CRISPR/Cas9 vector containing two sgRNA (small guide ribonucleic acid) of the target beet CENH3 gene. According to the method, a haploid induction system based on CENH3 gene regulation and control is constructed, and a pBWA (V) K-EGFP-CENH3 complementary vector is constructed so as to save the embryo lethality of CENH3. The haploid breeding applying the technology can greatly shorten the beet breeding age limit, and is an efficient beet breeding way.(ZH) 本发明提供了一种甜菜BvCENH3基因单倍体诱导系的构建方法与应用。本发明的甜菜BvCENH3基因单倍体诱导系的构建方法包括：以含有甜菜BvCENH3基因双靶标CRISPR/Cas9编辑载体的农杆菌转化甜菜叶柄，制备CENH3基因突变的甜菜植株；其中，甜菜BvCENH3基因双靶标CRISPR/Cas9编辑载体为含有靶向甜菜CENH3基因的两个sgRNA的CRISPR‑Cas9载体。本发明构建了基于CENH3基因调控的单倍体诱导系，并构建了pBWA(V)K‑EGFP‑CENH3互补载体以挽救CENH3的胚胎致死性。应用本发明技术的单倍体育种可以大大缩短甜菜育种年限，是一种高效的甜菜育种途径。",,113801891,09.06.2023,
CN370570721,202210606127,China,31.05.2022,114774459,22.07.2022,B,"C12N 15/80
					






C12N 15/66
					






C12N 1/15
					






C12N 15/113
					






C12N 15/56
					






C12R 1/645
					








C12N 15/80
					






C12N 15/66
					






C12N 1/15
					






C12N 15/113
					






C12N 15/56
					






C12R 1/645
					






View less classifications","C12N 15/80
					






C12N 15/113
					






C12N 9/22
					








C12N 15/80
					






C12N 15/113
					






C12N 9/22
					






View less classifications","ENVIRONMENT AND PLANT PROTECTION INSTITUTE, CHINESE ACADEMY OF TROPICAL AGRICULTURAL SCIENCES中国热带农业科学院环境与植物保护研究所",PENG JUN彭军ZHANG XIN张欣ZENG FANYUN曾凡云QI YANXIANG漆艳香DING ZHAOJIAN丁兆建WANG YANWEI王艳玮XIE PEILAN谢培兰XIE YIXIAN谢艺贤,广州三环专利商标代理有限公司 44202,"(EN) Banana fusarium wilt CRISPR/Cas9 gene editing vector, preparation method and application(ZH) 一种香蕉枯萎菌CRISPR/Cas9基因编辑载体、制备方法及应用",,"(EN) The invention provides a banana fusarium wilt CRISPR/Cas9 (clustered regularly interspaced short palindromic repeats/CRISPR associated protein 9) gene editing vector as well as a preparation method and application thereof. The vector comprises Cas9 and an sgRNA expression cassette, the Cas9 expression cassette comprises a PgpdA promoter, an optimization codon Foc4-Cas9 and an H2BNLS nuclear localization signal carried at the two ends of the codon Foc4-Cas9; a Pol III type 5SrRNA promoter and a gRNA sequence N20 are included in the sgRNA expression cassette; according to the banana fusarium wilt CRISPR/Cas9 gene editing vector constructed by the invention, a plasmid type CRISPR/Cas9 gene editing technology for expressing Cas9 and sgRNA in vivo with higher editing efficiency of banana fusarium wilt Foc4 is realized, the operation is simple, convenient and stable, and the CRISPR/Cas9 gene editing efficiency of banana fusarium wilt is fully improved.(ZH) 本发明提供一种香蕉枯萎菌CRISPR/Cas9基因编辑载体、制备方法及应用,该载体包括Cas9和sgRNA表达框；Cas9表达框中，包括PgpdA启动子、优化密码子Foc4‑Cas9和密码子Foc4‑Cas9两端携带的H2BNLS核定位信号；sgRNA表达框中，包括Pol III型5SrRNA启动子和gRNA序列N20；本发明构建的香蕉枯萎菌CRISPR/Cas9基因编辑载体，实现了香蕉枯萎菌Foc4的更高编辑效率的体内表达Cas9和sgRNA的质粒型CRISPR/Cas9基因编辑技术，操作简便且稳定，充分提高香蕉枯萎菌CRISPR/Cas9基因编辑效率。",,114774459,12.03.2024,
CN281792435,201910995642,China,18.10.2019,110656114,07.01.2020,B,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/12
					






A01H 6/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/12
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/8218
					






C12N 15/825
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/825
					






View less classifications","CHINA TOBACCO YUNNAN INDUSTRIAL CO., LTD.云南中烟工业有限责任公司",LI XUEMEI李雪梅ZENG WANLI曾婉俐XIANG HAIYING向海英LI JING李晶YANG GUANGYU杨光宇SONG CHUNMAN宋春满GAO QIAN高茜ZHANG JIANDUO张建铎XU LI许力JIANG JIARUI蒋佳芮DENG LELE邓乐乐YANG WENWU杨文武,昆明正原专利商标代理有限公司 53100昆明正原专利商标代理有限公司 53100,(EN) Tobacco pigment synthesis associated gene and application thereof(ZH) 一种烟草色素合成相关的基因及其应用,,"(EN) The invention relates to a tobacco pigment synthesis associated gene and an application thereof, and belongs to the technical field of plant genetic engineering. According to the tobacco pigment synthesis associated gene Ntab0036220 provided by the invention, through RT-PCR, the inventor finds that the gene has expression in leaves. In strains for editing the tobacco pigment synthesis associated gene Ntab0036220, the expression level of the tobacco pigment synthesis associated gene Ntab0036220 in the leaves is notably reduced compared with a control (free from transformation ) strain. A CRISPR/Cas9 mediated gene editing technique is adopted, so that a CRISPR/Cas9 editing carrier for knocking out the Ntab0036220 gene is constructed, and through heredity transformation, mammoth gold of whichthe Ntab0036220 gene is edited is obtained. For the obtained strain, the content of neoxanthin, violaxanthin, xanthophyll, chlorophyll b, chlorophyll a and carotene is obviously reduced.(ZH) 本发明涉及一种烟草色素合成相关的基因及其应用，属于植物基因工程技术领域。本发明提供的烟草色素合成相关的基因Ntab0036220，通过RT‑PCR发现，该基因在叶片中有表达。在编辑烟草色素合成相关的基因Ntab0036220的植株中，烟草色素合成相关的基因Ntab0036220在叶片中的表达量较对照（未转化）植株显著降低。本发明通过CRISPR/Cas9介导的基因编辑技术，构建了用于敲除Ntab0036220基因的CRISPR/Cas9编辑载体，经遗传转化后获得了Ntab0036220基因发生编辑的红花大金元植株，所获植株的新黄质、紫黄质、叶黄素、叶绿素b、叶绿素a和胡萝卜素含量明显降低。",,110656114,01.07.2022,
CN241488075,201910079904,China,28.01.2019,109609517,12.04.2019,B,"C12N 15/29
					






A01H 5/00
					






A01H 6/82
					








C12N 15/29
					






A01H 5/00
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/8282
					








C07K 14/415
					






C12N 15/8282
					






View less classifications",ZHEJIANG UNIVERSITY浙江大学,YU JINGQUAN喻景权PAN CAIZHE潘蔡哲SHI KAI师恺,杭州天勤知识产权代理有限公司 33224,(EN) Application of SlGLR3 gene in improvement of plant gray mold resistance(ZH) SlGLR3基因在提高植物灰霉病抗性中的应用,,"(EN) The invention discloses application of an S1GLR3 gene in improvement of plant gray mold resistance. The nucleotide sequence of a S1GLR3 gene protein coding region is as shown in SEQ ID NO. 1. According to the invention, a CRISPR/Cas9 gene editing technology is used to obtain a tomato glr3 deletion mutant plant, and the technical scheme proves that the application of the SlGLR3 gene in improvementof plant gray mold resistance can be used for selective breeding of gray-mold-resistant tomatoes.(ZH) 本发明公开了SlGLR3基因在提高植物灰霉病抗性中的应用，所述SlGLR3基因蛋白编码区的核苷酸序列如SEQ ID NO.1所示。本发明利用CRISPR/Cas9基因编辑技术获得番茄glr3缺失突变体植株，证明了SlGLR3基因在提高植物灰霉病抗性中的应用，可用于抗灰霉病番茄的选育。",,109609517,19.06.2020,
