Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Priority Data,Title,Abstract,Related Patent Documents,Grant Number,Grant Date,Agents,Designated States
CN397428055,202210839276,China,18.07.2022,115992177,21.04.2023,B,"C12N 15/85
					






C12N 15/113
					






C12N 15/53
					






C12N 9/02
					






C12N 5/10
					






A61K 48/00
					






View more classifications
							






C12N 15/85
					






C12N 15/113
					






C12N 15/53
					






C12N 9/02
					






C12N 5/10
					






A61K 48/00
					






A61K 38/46
					






A61P 39/02
					






View less classifications","Y02A 50/30
					






C12N 9/0008
					






C12Y 102/04001
					






C12N 15/902
					






C12N 2310/20
					






C12N 9/22
					






View more classifications
							






Y02A 50/30
					






C12N 9/0008
					






C12Y 102/04001
					






C12N 15/902
					






C12N 2310/20
					






C12N 9/22
					






C12N 15/8282
					






C12N 15/1137
					






C12N 5/10
					






C12N 9/0004
					






C12N 15/85
					






View less classifications","VEGETABLE RESEARCH INSTITUTE OF GUANGDONG ACADEMY OF AGRICULTURE SCIENCES广东省农业科学院蔬菜研究所FACILITY AGRICULTURE RESEARCH INSTITUTE, GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES广东省农业科学院设施农业研究所",YAO CHUNPENG姚春鹏SHI WEITAO施炜涛ZHANG CHANGYUAN张长远ZHANG XIAOAI张晓爱GUO JINJU郭金菊ZHONG YUJUAN钟玉娟DU HU杜虎XUE SHUDAN薛舒丹XU YINGCHAO徐颖超KIM KYUNG-MIN金庆敏,,(EN) Application of PDHB gene in fusaric acid resistance(ZH) PDHB基因在抗镰刀菌酸中的应用,"(EN) The invention discloses application of a PDHB gene in fusaric acid resistance, and relates to the technical field of biology. The invention claims to protect application of a reagent for knocking out or inhibiting PDHB gene expression in preparation of a product for improving the tolerance of an organism to fusaric acid. The invention also claims to protect an anti-fusaric acid product which comprises a reagent for knocking out or inhibiting PDHB gene expression. According to the invention, a CRISPR/Cas9 gene editing system is utilized to establish a target gene knockout IPEC-J2 cell line, and the result shows that the tolerance of cells to fusaric acid can be improved by inhibiting the expression of the PDHB gene. The invention provides a potential solution for preventing adverse reaction caused by fusaric acid.(ZH) 本发明公开了PDHB基因在抗镰刀菌酸中的应用，涉及生物技术领域。本发明要求保护敲除或抑制PDHB基因表达的试剂在制备提高生物体对镰刀菌酸的耐受性的产品中的应用。本发明还要求保护一种抗镰刀菌酸的产品，包括敲除或抑制PDHB基因表达的试剂。本发明利用CRISPR/Cas9基因编辑系统，建立目的基因敲除的IPEC‑J2细胞系，结果发现，抑制PDHB基因的表达，可以提高细胞对镰刀菌酸的耐受性。本发明为预防镰刀菌酸造成的不良反应提供了一个潜在的解决途径。",GB2622673,115992177,19.09.2023,北京东方盛凡知识产权代理有限公司 11562,
CN432073458,202410512720.X,China,26.04.2024,118186116,14.06.2024,A,"C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/01
					








C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/01
					






View less classifications","C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/01
					








C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/01
					






View less classifications",BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCES北京市农林科学院,CHEN DEFENG陈得峰QIN JIAOJIAO秦娇娇WEI ZUNZHENG卫尊征ZHONG XIONGHUI钟雄辉YUAN MENG袁梦ZHANG YUEYANG张月阳,,(EN) CRISPR-Cas12a-based pectobacterium carotovorum visual rapid detection method(ZH) 一种基于CRISPR-Cas12a的胡萝卜软腐果胶杆菌可视化快速检测方法,"(EN) The invention discloses a visual rapid detection method for pectobacterium carotovorum based on CRISPR-Cas12a (clustered regularly interspaced short palindromic repeats-associated 12a). The invention belongs to the field of microbiological detection, and relates to a visual rapid detection method for pectobacterium carotovorum based on CRISPR-Cas12a (Clustered Regularly Interspaced Short Palindromic Repeats-Cas12a). The invention provides a composition for identification or auxiliary identification of pectobacterium carotovorum, which is composed of single-stranded DNA (deoxyribonucleic acid) of Pcc-F (nucleotide sequence is SEQ ID No.1), single-stranded DNA (single-stranded DNA of Pcc-R (nucleotide sequence is SEQ ID No.2), CrRNA (ribose nucleic acid) specific to a to-be-detected organism (nucleotide sequence is SEQ ID No.3), a CrRNA buffer solution, LbaCas12a protein, a Cas12a reaction buffer solution and a fluorescent reporter probe. The detection method disclosed by the invention has the characteristics of high sensitivity, strong specificity, portability, rapidness and the like, and can meet field detection requirements.(ZH) 本发明公开了一种基于CRISPR‑Cas12a的胡萝卜软腐果胶杆菌可视化快速检测方法。本发明属于微生物检测领域，涉及一种基于CRISPR‑Cas12a的胡萝卜软腐果胶杆菌可视化快速检测方法。本发明提供鉴定或辅助鉴定胡萝卜软腐果胶杆菌的组合物，由Pcc‑F的单链DNA(核苷酸序列是SEQ ID No.1)、Pcc‑R的单链DNA(核苷酸序列是SEQ ID No.2)、特异于待检测生物的CrRNA(核苷酸序列是SEQ ID No.3)、CrRNA缓冲液、LbaCas12a蛋白、Cas12a反应缓冲液和荧光报告探针组成，本发明的检测方法具有灵敏度高、特异性强、便携、快速等特点，能够满足现场检测需求。",,,,北京纪凯知识产权代理有限公司 11245,
CN203405613,102017000146782,China,13.03.2017,107012164,04.08.2017,B,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8213
					








C12N 15/8213
					






View less classifications",UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA电子科技大学,ZHANG YONG张勇TANG XU唐旭ZHENG XUELIAN郑雪莲DENG KEJUN邓科君ZHOU JIANPING周建平,2017100198425 11.01.2017 CN,"(EN) CRISPR/Cpf1 plant genome directional modification function unit, carrier comprising function unit, and application thereof(ZH) CRISPR/Cpf1植物基因组定向修饰功能单元、包含该功能单元的载体及其应用","(EN) The invention belongs to the technical field of gene engineering, and concretely relates to a CRISPR/Cpf1 plant genome directional modification function unit, a carrier comprising the function unit, and application thereof. The invention aims to build an effective plant genome CRISPR/Cpf1 directional modification framework carrier according to an action principle of a CRISPR/Cpf1 system and a vegetable cell gene expression characteristic, and realize high-efficient application thereof in plant genome directional modification. The technical scheme provided by the invention is characterized by building the CRISPR/Cpf1 plant genome directional modification framework carrier formed by lachnospiraceae bacterium Cpf1 nuclease protein (LbCpf1) expression unit and a guiding crRNA transcription expression unit. The invention also provides a method for designing specificity-guided crRNA and building a CRISPR/Cpf1 recombinant expression vector aiming at rice genome target loci by adopting the CRISPR/Cpf1 plant genome directional modification framework carrier. The invention provides the high-efficient CRISPR/Cpf1 plant directional modification framework carrier, which can effectively realize simple, fast and high-efficient directional modification based on the CRISPR/Cpf1 system aiming at a plant genome target sequence.(ZH) 本发明属于基因工程技术领域，具体涉及一种CRISPR/Cpf1植物基因组定向修饰功能单元、包含该功能单元的载体及其应用。本发明要解决的技术问题是：依据CRISPR/Cpf1系统的的作用原理及植物细胞基因表达特性，构建有效的植物基因组CRISPR/Cpf1定向修饰骨架载体，并实现其在植物基因组定向修饰中的高效应用。本发明的技术方案是：构建由一个毛螺科菌(Lachnospiraceae bacterium)Cpf1核酸酶蛋白(LbCpf1)表达单元及一个向导crRNA转录表达单元构成的CRISPR/Cpf1植物基因组定向修饰骨架载体。本发明还提供了采用所述的CRISPR/Cpf1植物基因组定向修饰骨架载体，针对水稻基因组目标位点设计特异性向导crRNA并构建CRISPR/Cpf1重组表达载体的方法。本发明提供了一种高效的CRISPR/Cpf1植物定向修饰骨架载体，可以针对植物基因组目标序列有效实现基于CRISPR/Cpf1系统的简单、快捷、高效定向修饰。",,107012164,03.03.2023,成都虹桥专利事务所(普通合伙) 51124,
CN401631967,202310197447,China,04.03.2021,116355062,30.06.2023,B,"C07K 14/31
					






C12N 9/22
					








C07K 14/31
					






C12N 9/22
					






View less classifications","C07K 14/31
					






C12N 9/22
					






Y02A 50/30
					








C07K 14/31
					






C12N 9/22
					






Y02A 50/30
					






View less classifications",WESTERN (CHONGQING) SCIENCE CITY GERMPLASM CREATION SCIENCE CENTER西部（重庆）科学城种质创制大科学中心CHINESE PEOPLE'S LIBERATION ARMY ARMY SPECIALIZED MEDICAL CENTER中国人民解放军陆军特色医学中心,LIN PING林平JIANG JIANXIN蒋建新WU MIN吴敏,,(EN) Anti-CRISPR protein AcrIIIA2SAP26 and application thereof(ZH) 抗CRISPR蛋白AcrIIIA2SAP26及其应用,"(EN) The invention belongs to the technical field of RNA (Ribonucleic Acid) editing, and particularly relates to a CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats)-Cas system inhibitor AcrIIIA2SAP26 from a Staphyloccusvirus SAP26 phage virus and application of the CRISPR-Cas system inhibitor AcrIIIA2SAP26. According to the CRISPR-Cas system inhibitor AcrIIIA2SAP26, the fact that the AcrIIIA2SAP26 inhibits the gene editing activity of III-A type CRISPR-Cas and the fact that the AcrIIIA2SAP26 in bacteria controls'closing 'of the gene editing ability of the III-A type CRISPR-Cas are identified, and the variety of the III-A type The AcrIIIA2SAP26 inhibitor can control the editing efficiency of the III-A type CRISPR-CasRNA in time or space, and the safety and practicability of the III-A type CRISPR-CasRNA editing technology in the fields of biological treatment, biotechnology, agriculture and the like are improved.(ZH) 本发明属于RNA编辑技术领域，具体为来自于StaphylococcusvirusSAP26噬菌体病毒的CRISPR‑Cas系统抑制剂AcrIIIA2<subgt;SAP26</subgt;及其应用，本发明鉴定了AcrIIIA2<subgt;SAP26</subgt;抑制III‑A型CRISPR‑Cas基因编辑活性，在细菌中AcrIIIA2<subgt;SAP26</subgt;控制III‑A型CRISPR‑Cas基因编辑能力的“关闭”，丰富了III‑A型CRISPR‑Cas系统抑制剂的种类。AcrIIIA2<subgt;SAP26</subgt;抑制剂可以在时间或空间上控制III‑A型CRISPR‑CasRNA编辑效率，提高III‑A型CRISPR‑Cas编辑技术在生物治疗、生物技术和农业等领域的安全性和实用性。",,116355062,26.03.2024,北京同恒源知识产权代理有限公司 11275,
CN241720562,201811613265,China,27.12.2018,109652439,19.04.2019,A,"C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8213
					






C12N 15/8282
					








C12N 15/8213
					






C12N 15/8282
					






View less classifications",YICHUN UNIVERSITY宜春学院,SHEN CHUNXIU沈春修,,(EN) Method for improving broad-spectrum resistance of rice blast by using CRISPR/Cas9 mediated adenine base editing system(ZH) 利用CRISPR/Cas9介导的腺嘌呤碱基编辑系统改良水稻稻瘟病广谱抗性的方法,"(EN) The invention discloses a method for improving the broad-spectrum resistance of rice blast by using a CRISPR/Cas9 mediated adenine base editing system, which uses Nipponbare rice as an acceptor material and is characterized in that a CRISPR/Cas9 mediated adenine base editing system is used for carrying out appointed replacement on a single base (A-G) which is -618 sites from the initiation codon of a promoter region of a rice Bsr-d1 gene through agrobacterium mediated transformation, after obtaining transgenic regenerated plants, identifying and screening are carried out to obtain double-allelic mutant plants of the site; and after selfing and fruiting, transgenic negative offspring, namely the improved rice planting material with broad-spectrum rice blast resistance, is carried out.(ZH) 本发明公开一种利用CRISPR/Cas9介导的腺嘌呤碱基编辑系统改良水稻稻瘟病广谱抗性的方法，以日本晴水稻品种为受体材料，其特征是利用CRISPR/Cas9介导的腺嘌呤碱基编辑系统通过农杆菌介导转化进行水稻Bsr‑d1基因的启动子区域距离起始密码子‑618位点的单碱基定点替换（A→G），获得转基因再生植株后鉴定筛选获得该位点的双等位突变植株，自交结实后筛选出转基因阴性后代，即为改良的具有稻瘟病广谱抗性水稻种质材料。",,,,南昌赣西专利代理事务所(普通合伙) 36121,
CN260334458,201910646780,China,17.07.2019,110305910,08.10.2019,A,"C12N 15/90
					






C12N 15/12
					






A01K 67/027
					






C12N 15/113
					






C12N 15/63
					








C12N 15/90
					






C12N 15/12
					






A01K 67/027
					






C12N 15/113
					






C12N 15/63
					






View less classifications","A01K 67/0276
					






A01K 2217/075
					






A01K 2227/103
					






A01K 2267/02
					






C07K 14/475
					






C12N 15/1136
					






View more classifications
							






A01K 67/0276
					






A01K 2217/075
					






A01K 2227/103
					






A01K 2267/02
					






C07K 14/475
					






C12N 15/1136
					






C12N 15/63
					






C12N 15/907
					






C12N 2310/10
					






C12N 2310/20
					






View less classifications","WUZHONG CITY HONGSIBAO DISTRICT TIANYUAN AGRICULTURE AND ANIMAL HUSBANDRY TECHNOLOGY DEVELOPMENT CO., LTD.吴忠市红寺堡区天源农牧业科技开发有限公司",KOU QIFANG寇启芳NIU WENZHI牛文智WANG XIAOLONG王小龙MA HU马虎NIU XIAOLIAN牛晓莲ZHOU YING周颖LIU WEIPING刘卫平,,(EN) Method for knocking out sheep MSTN gene by using large fragment of CRISPR/Cas9 system(ZH) 利用CRISPR/Cas9系统大片段敲除绵羊MSTN基因的方法,"(EN) The invention discloses a method for knocking out the sheep MSTN gene by using a large fragment of a CRISPR/Cas9 system. The method for knocking out the sheep MSTN gene by using the large fragment ofthe CRISPR/Cas9 system comprises the steps that first a DNA sequence of an sgRNA recognition region for a first exon, a second exon and a third exon of the sheep MSTN gene is obtained; sgRNA in-vitrotranscription vectors aiming at the first exon, the second exon and the third exon of the sheep MSTN and containing a T7 promoter are separately constructed; and the in-vitro transcription vectors using Cas9 and sgRNA obtain Cas9 mRNA and sgRNAby in-vitro transcription, and fertilized egg injection can be used for producing transgenic sheep with large fragments knocking out the MSTN gene.(ZH) 本发明公开了一种利用CRISPR/Cas9系统大片段敲除绵羊MSTN基因的方法，本发明首先获得针对绵羊MSTN基因第一外显子,第二外显子和第三外显子的sgRNA识别区的DNA序列；接着分别构建针对绵羊MSTN第一外显子，第二外显子和第三外显子且含T7启动子的sgRNA体外转录载体；利用Cas9和sgRNA的体外转录载体通过体外转录获得Cas9mRNA和sgRNA，通过受精卵注射可用于生产大片段敲除MSTN基因的转基因绵羊。",,,,北京弘权知识产权代理事务所(普通合伙) 11363北京弘权知识产权代理事务所(普通合伙) 11363,
CN291898449,201880042316,China,24.04.2018,110891965,17.03.2020,A,"C07K 14/005
					






C07K 14/315
					






C12N 5/10
					






C12N 15/63
					








C07K 14/005
					






C07K 14/315
					






C12N 5/10
					






C12N 15/63
					






View less classifications","C07K 14/005
					






C07K 14/315
					






C12N 15/63
					






C12N 2795/10322
					






C12N 9/22
					








C07K 14/005
					






C07K 14/315
					






C12N 15/63
					






C12N 2795/10322
					






C12N 9/22
					






View less classifications",DUPONT NUTRITION BIOSCIENCES APS杜邦营养生物科学有限公司UNIVERSITE LAVAL (CANADA)拉瓦尔大学（加拿大）,FREMAUX CHRISTOPHEC.弗雷莫HORVATH PHILIPPEP.霍瓦特ROMERO DENNIS AD.A.罗梅罗HYNES ALEXANDERA.海因斯MOINEAU SYLVAINS.穆瓦诺ROUSSEAU GENEVIEVEG.罗素YOUNG JOSHUAJ.扬LEMAY MARIE-LAURENCEM-L.李梅,"62/488,969 24.04.2017 US62/488,981 24.04.2017 US62/510,896 25.05.2017 US62/510,914 25.05.2017 US",(EN) METHODS AND COMPOSITIONS OF ANTI-CRISPR PROTEINS FOR USE IN PLANTS(ZH) 植物中使用的抗CRISPR蛋白的方法和组合物,"(EN) Methods and compositions are provided for the use of anti-CRISPR (ACR) proteins in plants, including modulation of Cas endonuclease activity, improvement of frequency of homologous recombination, control of Cas endonuclease activity during various cell cycles, spatial and/or temporal regulation of Cas endonuclease activity in plants, usage in gene activation or repression, as well as reduction ofoff-target polynucleotide cleavage.(ZH) 提供了在植物中使用的抗CRISPR(ACR)蛋白的方法和组合物，包括调节Cas核酸内切酶活性、改善同源重组频率、在各细胞周期期间控制Cas核酸内切酶活性、对植物中Cas核酸内切酶活性进行空间和/或时间调节、在基因激活或阻抑中使用以及减少脱靶多核苷酸切割。",EP3615552 BR112019022201 US20200190492 WO/2018/197520 IN201917043473,,,中国专利代理(香港)有限公司 72001中国专利代理(香港)有限公司 72001,
CN442630231,202411330604,China,24.09.2024,118853924,29.10.2024,B,"C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/38
					








C12Q 1/689
					






C12Q 1/6844
					






C12N 15/11
					






C12R 1/38
					






View less classifications","C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/38
					






Y02A 50/30
					








C12Q 1/689
					






C12Q 1/6844
					






C12R 2001/38
					






Y02A 50/30
					






View less classifications","YUNNAN NORMAL UNIVERSITY云南师范大学YUNNAN YINGMAO MODERN AGRICULTURE CO., LTD.云南英茂现代农业有限公司",TANG WEI唐唯ZHOU JIAN周健HAI YANG海洋SI LIPING司立平LUO ZHANHONG罗展宏ZHANG FAYING张法应FU AIHUA付爱华CHEN JIE陈洁,,"(EN) Primer group, kit and method for detecting potato bacterial wilt based on RPA/CRISPR-Cas12a system(ZH) 一种基于RPA/CRISPR-Cas12a体系检测马铃薯青枯病的引物组、试剂盒及方法","(EN) The invention relates to the technical field of molecular biology, in particular to a primer group, a kit and a method for detecting potato bacterial wilt based on an RPA/CRISPR-Cas12a system. The primer group comprises an RPA primer pair and a crRNA primer, a specific recombinase polymerase amplification RPA primer and the crRNA primer of a CRISPR-Cas12a system are designed aiming at the potato bacterial wilt pathogenic bacteria, an isothermal amplification method combining RPA and CRISPR-Cas12a is established, the detection specificity is improved, the result is judged through two visual methods of fluorescence and a lateral flow chromatography test strip, and the detection result is accurate. The method can be used for rapidly, accurately and sensitively detecting the potato bacterial wilt in the field, the reaction effect is good after verification, the method can be perfected by further optimizing experimental operation and conditions, a foundation is laid for subsequent large-scale application, and reliable technical support is provided for prevention and treatment of the potato bacterial wilt.(ZH) 本发明涉及分子生物技术领域，特别涉及一种基于RPA/CRISPR‑Cas12a体系检测马铃薯青枯病的引物组、试剂盒及方法。引物组包括RPA引物对及crRNA引物，本发明针对马铃薯青枯病病原菌，设计特异性重组酶聚合酶扩增RPA引物和CRISPR‑Cas12a体系的crRNA引物，建立了RPA与CRISPR‑Cas12a相结合的等温扩增方法，提高了检测特异性，并通过荧光和侧向流层析试纸条两种可视化方法对结果进行判定，以实现在田间快速、准确和灵敏检测马铃薯青枯病的目的，经验证后反应效果良好，可通过进一步优化实验操作及条件完善该方法并为后续大规模应用奠定基础，为马铃薯青枯病菌防治提供可靠的技术支持。",,118853924,06.12.2024,成都九鼎天元知识产权代理有限公司 51214,
CN198383332,102016000918480,China,21.10.2016,106636182,10.05.2017,B,"C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/82
					








C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/82
					






View less classifications","C12N 15/113
					








C12N 15/113
					






View less classifications",VEGETABLE RESEARCH INSTITUTE OF SHANXI ACADEMY OF AGRICULTURE SCIENCES山西省农业科学院蔬菜研究所,CHENG YAN成妍MA RONGLI马蓉丽JIAO YANSHENG焦彦生QIAO NING乔宁LEI YANG雷阳,,(EN) Construction of CRISPR-Cas9 system of tomato PSY 1 gene and application thereof(ZH) 一种番茄PSY 1基因的CRISPR-Cas9体系构建及其应用,"(EN) The invention belongs to the field of gene engineering and genetic modification and relates to construction of a CRISPR-Cas9 system of a tomato PSY 1 gene and an application thereof. The construction includes the following steps: (1) according to a cDNA conserved sequence of the tomato PSY 1 gene, designing a DNA sequence of sgRNA, which is represented as the SEQ ID No.1; (2) designing a primer combination used for amplifying a tomato PSY 1 gene target zone in the sgRNA; and (3) performing sgRNA amplification with the primer and purifying an amplified product to obtain a CRISPR-Cas9 Level-1 carrier and a CRISPR-Cas9 Level-2 carrier, which contain the sgRNA of the specific targeted tomato PSY-1 gene. The construction is beneficial to researching on effect that the gene participates in fruit maturity of tomatoes, so that the molecular mechanism of the fruit maturity of tomatoes can be known furthermore. The system can be used for producing PSY 1 gene deleted transgenic tomatoes, and has important effect of culturing a new tomato variety which is tolerant to storage and transportation in future.(ZH) 本发明属于基因工程和基因遗传修饰领域，涉及一种番茄PSY 1基因的CRISPR‑Cas9体系构建及其应用，包括以下步骤：根据番茄PSY 1基因的cDNA保守序列设计sgRNA的DNA序列，如SEQ ID NO.1所示；设计用于扩增sgRNA的番茄PSY 1基因目标区的引物组合；利用引物进行sgRNA扩增，并纯化扩增产物；得到含有特异性靶向番茄PSY 1基因sgRNA的CRISPR‑Cas9 Level 1载体和CRISPR‑Cas9 Level 2载体。有助于研究该基因参与番茄果实成熟过程中的作用，进一步了解番茄果实成熟的分子机理，可用于制备PSY 1基因缺失的转基因番茄，对未来培育耐贮运番茄新品种有重要作用。",,106636182,08.11.2019,太原晋科知识产权代理事务所(特殊普通合伙) 14110,
KR365503323,1020200165707,Republic of Korea,01.12.2020,1020220076827,08.06.2022,B1,"C12N 15/82
					






C07K 14/415
					






C12N 15/113
					








C12N 15/82
					






C07K 14/415
					






C12N 15/113
					






View less classifications","C12N 15/8242
					






C07K 14/415
					






C12N 15/113
					






C12N 15/8205
					






C12N 2310/20
					








C12N 15/8242
					






C07K 14/415
					






C12N 15/113
					






C12N 15/8205
					






C12N 2310/20
					






View less classifications",명지대학교 산학협력단MYONGJI UNIVERSITY INDUSTRY AND ACADEMIA COOPERATION FOUNDATION가톨릭대학교 산학협력단THE CATHOLIC UNIVERSITY OF KOREA INDUSTRY-ACADEMIC COOPERATION FOUNDATION,KIM GOON BOMUN JEONG HWANYU HEE JU김군보문정환유희주,,(EN) NOVEL U6 PROMOTER SEPARATED FROM VITIS PLANTS AND USE THEREOF(KO) 포도에서 분리된 신규 U6 프로모터 및 이의 용도,"(EN) The present invention relates to a novel U6 promoter isolated from Vitis plants and having high guide RNA (gRNA) transcriptional activity. According to the present invention, the novel U6 promoter isolated from Vitis plants has significantly superior target gRNA transcriptional activity in Vitis plants in comparison with an AtU6-26 promoter isolated from Arabidopsis. Accordingly, the novel U6 promoter isolated from Vitis plants can increase efficiency and ease of genome editing of Vitis plants using a clustered regularly interspaced short palindromic repeats (CRISPR) system. In addition, when the novel U6 promoter isolated from Vitis plants and a recombinant vector system containing the same are used, it is possible to easily perform gene function research or development of new varieties of grapes, which are hybrid varieties. COPYRIGHT KIPO 2023(KO) 본 발명은 포도속 식물에서 분리되고 가이드 RNA(gRNA)의 전사 활성이 높은 신규 U6 프로모터를 제공한다. 본 발명에서 제공하는 포도속 식물에서 분리된 신규한 U6 프로모터는 애기장대에서 분리된 AtU6-26 프로모터에 비해 포도 식물체에서 표적 가이드 RNA(gRNA) 전사 활성이 현저하게 우수하다. 따라서, 본 발명에서 제공하는 포도속 식물에서 분리된 신규한 U6 프로모터는 CRISPR 체계를 이용한 포도속 식물 유전체 편집의 효율성과 용이성을 높일 수 있다. 나아가, 본 발명에서 제공하는 포도속 식물에서 분리된 신규한 U6 프로모터 및 이를 포함하는 재조합 벡터 시스템을 사용하면 잡종 품종인 포도의 유전자 기능 연구나 신품종 개발을 용이하게 수행할 수 있다.",,102551063,05.07.2023,임상엽권정기,
CN283217400,201911135748,China,19.11.2019,110724689,24.01.2020,B,"C12N 15/113
					






C12N 15/82
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					








C12N 15/113
					






C12N 15/82
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					






View less classifications","A01H 4/00
					






C12N 9/1085
					






C12N 15/113
					






C12N 15/8218
					






C12N 2310/20
					








A01H 4/00
					






C12N 9/1085
					






C12N 15/113
					






C12N 15/8218
					






C12N 2310/20
					






View less classifications",FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY福建农林大学,ZHU QIANG朱强YE SHANWEN叶善汶CHEN GANG陈刚,,(EN) Cas9-mediated dendrocalamus latiflorus gene editing vector and application thereof(ZH) Cas9介导的麻竹基因编辑载体和应用,"(EN) The present invention discloses a Cas9-mediated dendrocalamus latiflorus gene editing vector and an application thereof. A Crispr/Cas9 dendrocalamus latiflorus expression vector is constructed, a Cas9gene is introduced into dendrocalamus latiflorus through an agrobacterium (EHA105) transformation method, a dendrocalamus latiflorus PSY1 gene is subjected to directional editing, and the method capable of editing the own gene of the dendrocalamus latiflorus to obtain a dendrocalamus latiflorus mutant is provided for the first time. Applicability of CRISPR/Cas9 in bamboo is proved, thereby promoting research and breeding of the bamboo in the future.(ZH) 本发明公开了Cas9介导的麻竹基因编辑载体及其应用。发明通过构建Crispr/Cas9麻竹表达载体，通过农杆菌（EHA105）转化的方式，将Cas9基因导入麻竹中，对麻竹PSY1基因进行定向编辑，首次提供一种能够定向编辑麻竹自身基因从而获得麻竹突变体的方法。证明了CRISPR/Cas9在竹子中的适用性，从而促进了未来竹子的研究和育种。",,110724689,26.03.2021,福州元创专利商标代理有限公司 35100福州元创专利商标代理有限公司 35100,
CN276925711,201910178919,China,11.03.2019,110423775,08.11.2019,B,"C12N 15/82
					






C12N 15/90
					






C12N 15/66
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






C12N 15/90
					






C12N 15/66
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8282
					






C12N 15/902
					






C12N 2800/80
					






C12N 2810/10
					








C07K 14/415
					






C12N 15/8282
					






C12N 15/902
					






C12N 2800/80
					






C12N 2810/10
					






View less classifications","SAAS BIOTECHNOLOGY AND NUCLEAR TECHNOLOGY RESEARCH INSTITUTE四川省农业科学院生物技术核技术研究所CHENGDU YINONG AGRICULTURE TECHNOLOGY CO., LTD.成都亿农农业科技有限公司",CHEN KEGUI陈克贵PENG MEIFANG彭梅芳PAN CHUNMEI潘春梅LI SHAOYI李邵怡WANG JING王静FAN XIAOLI范晓丽,,(EN) Editing modification method of piricularia oryzae resistance locus DNA in rice genome and editing vector(ZH) 一种水稻基因组中稻瘟病抗性位点DNA的编辑修饰方法、编辑载体,"(EN) The invention discloses a method for editing modification of DNA of a piricularia oryzae resistance locus in a rice genome by using a CRISPR/Cas9 gene editing vector. The piricularia oryzae resistancelocus in the rice genome is located on a chromosome 6, and the DNA sequence is shown as Seq No.1. The CRISPR/Cas9 gene editing vector implementing the editing modification method comprises an sgRNA expression cassette and a recombinant DNA fragment RHR; the target sequence of the sgRNA expression cassette is determined according to the DNA sequence of the piricularia oryzae resistance locus in the rice genome; and the recombinant DNA fragment RHR is constructed by a method combining DNA synthesis and PCR amplification according to the DNA sequence of a piricularia oryzae resistance gene. According to the method, the DNA of the piricularia oryzae resistance gene locus is accurately modified and edited, so that the purpose of changing the genetic information is achieved, and the method is used for cultivating rice varieties resistant to piricularia oryzae.(ZH) 本发明公开了一种利用CRISPR/Cas9基因编辑载体对水稻基因组中稻瘟病抗性位点DNA编辑修饰的方法，所述水稻基因组中稻瘟病抗性位点位于第6染色体，其DNA序列如Seq No.1所示。实现上述编辑修饰方法的CRISPR/Cas9基因编辑载体包括sgRNA表达盒和重组DNA片段RHR；所述sgRNA表达盒的靶序列是依据水稻基因组中稻瘟病抗性位点DNA序列确定；所述重组DNA片段RHR是依据水稻稻瘟病抗性基因DNA序列，采用DNA合成和PCR扩增相结合的方法构建获得。本发明对稻瘟病抗性基因位点的DNA进行精确的修饰编辑，从而达到改变其遗传信息的目的，用于培育抗稻瘟病的水稻品种。",,110423775,11.08.2020,成都行之专利代理事务所(普通合伙) 51220,
